id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
3309986,"6 pièces, 3 chambres, 288 m², Étage 1/–, Balcon, Parking, Ascenseur",6,20000,f,3,Appartement,289.8550724637681,Paris 8ème,48.8670978,2.3131224,3
3310186,"3 pièces, 2 chambres, 56 m², Étage 3/–, Balcon, Ascenseur",3,3660,t,3,Appartement,56.30769230769231,Paris 17ème,48.8791008,2.28743,2
3310461,"3 pièces, 2 chambres, 91 m², Étage 3/–, Ascenseur",3,6000,f,2,Appartement,90.9090909090909,Paris 8ème,48.8670978,2.3131224,2
3311159,"6 pièces, 4 chambres, 160 m², Étage 3/–, Balcon, Ascenseur",6,13280,f,3,Appartement,160.0,Paris 8ème,48.8670978,2.3131224,4
3311160,"8 pièces, 5 chambres, 265 m², Étage 5/6, Balcon, Ascenseur",8,22888,f,3,Appartement,266.13953488372096,Paris 8ème,48.8670978,2.3131224,5
3311210,"8 pièces, 5 chambres, 269 m², Étage 2/–, Balcon, Ascenseur",8,20000,f,3,Appartement,270.27027027027026,Paris 8ème,48.8670978,2.3131224,5
3311789,"5 pièces, 3 chambres, 165 m², Étage 1/–, Ascenseur, Piscine",5,14500,t,2,Appartement,164.77272727272728,Paris 8ème,48.8670978,2.3131224,3
3312024,"4 pièces, 2 chambres, 85 m², Étage 5/8, Balcon, Parking, Ascenseur",4,11000,t,3,Appartement,85.27131782945736,Paris 8ème,48.8670978,2.3131224,2
3318973,"2 pièces, 1 chambre, 49 m², Étage 6/7, Balcon, Ascenseur",2,1719,t,3,Appartement,49.114285714285714,Suresnes,48.8709053,2.2255727,0
3340785,"2 pièces, 1 chambre, 55 m², Étage 0/0",2,1429,f,3,Appartement,54.96153846153846,Paris 12ème,48.8420454,2.3962685,0
3408327,"5 pièces, 4 chambres, 90 m², Étage 3/4, Balcon, Terrasse, Parking, Ascenseur",5,3000,f,3,Appartement,90.9090909090909,Saint-Germain-en-Laye,48.8990413,2.0942792,4
3408348,"4 pièces, 3 chambres, 96 m², Étage 3/3, Parking",4,2335,f,3,Appartement,97.29166666666669,Versailles,48.8035403,2.1266886,3
3408357,"5 pièces, 3 chambres, 102 m², Étage 7/–",5,3262,f,3,Appartement,101.9375,Suresnes,48.8709053,2.2255727,3
3408558,"5 pièces, 4 chambres, 96 m², Étage 0/–, Balcon",5,450,f,2,Appartement,90.0,Évry,48.26406,3.25604,4
3419366,"4 pièces, 3 chambres, 84 m², Étage 2/–, Balcon, Ascenseur",4,2049,f,2,Appartement,81.96,Clichy,48.9026,2.30551,3
3419371,"2 pièces, 1 chambre, 47 m², Étage 0/–, Balcon, Ascenseur",2,1080,f,2,Appartement,46.95652173913044,Clichy,48.9026,2.30551,0
3419376,"5 pièces, 4 chambres, 104 m², Étage 4/–, Balcon, Ascenseur",5,2500,f,2,Appartement,104.16666666666669,Clichy,48.9026,2.30551,4
3419380,"5 pièces, 4 chambres, 103 m², Étage 5/–, Balcon, Ascenseur",5,2500,f,2,Appartement,104.16666666666669,Clichy,48.9026,2.30551,4
3419392,"3 pièces, 2 chambres, 67 m², Étage 5/6, Terrasse, Ascenseur",3,2110,f,3,Appartement,68.06451612903226,Clichy,48.9026,2.30551,2
3419394,"4 pièces, 3 chambres, 82 m², Étage 5/6, Terrasse, Parking",4,2450,f,3,Appartement,81.66666666666667,Clichy,48.9026,2.30551,3
3419395,"3 pièces, 2 chambres, 68 m², Étage 2/6, Balcon, Ascenseur",3,1990,f,3,Appartement,68.62068965517241,Clichy,48.9026,2.30551,2
3419398,"4 pièces, 3 chambres, 79 m², Étage 6/6, Terrasse, Ascenseur",4,2500,f,3,Appartement,78.125,Clichy,48.9026,2.30551,3
3419400,"3 pièces, 2 chambres, 73 m², Étage 1/6, Ascenseur",3,1960,f,3,Appartement,72.5925925925926,Clichy,48.9026,2.30551,2
3422508,"2 pièces, 1 chambre, 50 m², Étage 3/–, Balcon",2,1990,t,3,Appartement,49.75,Saint-Ouen,50.03683,2.1223737,0
3422652,"4 pièces, 2 chambres, 65 m², Étage 2/3",4,1450,t,3,Appartement,65.9090909090909,Sceaux,47.514728500000004,4.021844858050334,2
3439438,"5 pièces, 3 chambres, 103 m², Étage 6/–, Terrasse, Ascenseur",5,3306,f,3,Appartement,103.3125,Suresnes,48.8709053,2.2255727,3
3439628,"1 pièce, 32 m², Étage 1/0",1,824,t,3,Studio,31.692307692307693,Chambourcy,48.9058999,2.0396454,0
3439812,"3 pièces, 2 chambres, 90 m², Étage 5/5, Ascenseur",3,2990,t,2,Appartement,90.6060606060606,Paris 8ème,48.8670978,2.3131224,2
3447462,"7 pièces, 5 chambres, 202 m², Étage 2/4",7,4980,f,3,Appartement,199.2,Versailles,48.8035403,2.1266886,5
